Numero,fid,totalpobl,hogares,Desocupado,0 - 14,65 y más,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,toponimo_i,dens pob,Area_Has,Seccion,target,Tipo de punto_Rulero,TipoResiduo_Papel,TipoResiduo_Plástico,"TipoResiduo_Vidrio, Metal, Tetra",macroz_2_Comercial,macroz_2_Especial Parque Gral. San Marti?n,macroz_2_Residencial suburbano,macroz_2_Residencial urbano
13,25.0,519.0,245.0,9.0,65.0,132.0,11.0,73.0,12.0,119.0,9.0,59.0,198.0,12.0,484.0,14.0,0.0,0.0,0.0,326312.0,39.914,411.0,1.0,22.0,0,1,0,0,1,0,0,0
13,25.0,519.0,245.0,9.0,65.0,132.0,11.0,73.0,12.0,119.0,9.0,59.0,198.0,12.0,484.0,14.0,0.0,0.0,0.0,326312.0,39.914,411.0,1.0,22.0,0,0,0,1,1,0,0,0
13,25.0,519.0,245.0,9.0,65.0,132.0,11.0,73.0,12.0,119.0,9.0,59.0,198.0,12.0,484.0,14.0,0.0,0.0,0.0,326312.0,39.914,411.0,1.0,22.0,0,0,0,1,1,0,0,0
13,25.0,519.0,245.0,9.0,65.0,132.0,11.0,73.0,12.0,119.0,9.0,59.0,198.0,12.0,484.0,14.0,0.0,0.0,0.0,326312.0,39.914,411.0,1.0,22.0,0,0,0,1,1,0,0,0
13,25.0,519.0,245.0,9.0,65.0,132.0,11.0,73.0,12.0,119.0,9.0,59.0,198.0,12.0,484.0,14.0,0.0,0.0,0.0,326312.0,39.914,411.0,1.0,22.0,0,0,0,1,1,0,0,0
14,27.0,664.0,268.0,21.0,104.0,120.0,16.0,103.0,12.0,154.0,30.0,65.0,233.0,8.0,610.0,18.0,2.0,2.0,0.0,326314.0,36.211,411.0,1.0,31.0,0,0,0,1,1,0,0,0
14,27.0,664.0,268.0,21.0,104.0,120.0,16.0,103.0,12.0,154.0,30.0,65.0,233.0,8.0,610.0,18.0,2.0,2.0,0.0,326314.0,36.211,411.0,1.0,32.0,0,1,0,0,1,0,0,0
14,27.0,664.0,268.0,21.0,104.0,120.0,16.0,103.0,12.0,154.0,30.0,65.0,233.0,8.0,610.0,18.0,2.0,2.0,0.0,326314.0,36.211,411.0,1.0,32.0,0,0,1,0,1,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,22.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,21.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,31.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,31.0,0,0,0,1,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,33.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,32.0,0,1,0,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,32.0,0,0,1,0,0,0,0,0
18,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,32.0,0,1,0,0,0,0,0,0
19,36.0,704.0,212.0,25.0,91.0,142.0,10.0,131.0,11.0,218.0,10.0,58.0,205.0,27.0,660.0,24.0,0.0,0.0,0.0,326315.0,49.598,411.0,1.0,32.0,0,1,0,0,1,0,0,0
19,36.0,704.0,212.0,25.0,91.0,142.0,10.0,131.0,11.0,218.0,10.0,58.0,205.0,27.0,660.0,24.0,0.0,0.0,0.0,326315.0,49.598,411.0,1.0,32.0,0,0,0,1,1,0,0,0
19,36.0,704.0,212.0,25.0,91.0,142.0,10.0,131.0,11.0,218.0,10.0,58.0,205.0,27.0,660.0,24.0,0.0,0.0,0.0,326315.0,49.598,411.0,1.0,32.0,0,0,1,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,1,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,1,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,1,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,1,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,1,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,1,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,1,0,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,1,0,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,1,0,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,1,0,0,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,0,1,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,0,1,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,0,1,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,22.0,0,0,0,1,1,0,0,0
20,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,21.0,0,1,0,0,1,0,0,0
